9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 0.161680:(1) 0.535790:(1) 0.040428:(0) 0.181911:(1) 0.834873:(1) 0.103064:(0) 0.459017:(1) 0.245088:(1) 0.693173:(1) 
9 0.191757:(1) 0.851954:(1) 0.261271:(1) 0.692069:(1) 0.989457:(1) 0.738229:(1) 0.013695:(0) 0.051866:(0) 0.756302:(1) 
9 0.272909:(1) 0.645477:(1) 0.565591:(1) 0.423683:(1) 0.321619:(1) 0.029247:(0) 0.867612:(1) 0.150501:(0) 0.265938:(1) 
9 0.220519:(0) 0.456165:(1) 0.537543:(1) 0.652857:(1) 0.908072:(1) 0.581467:(1) 0.305938:(1) 0.407956:(1) 0.234518:(0) 
9 0.489049:(1) 0.412493:(1) 0.910752:(1) 0.150465:(0) 0.484766:(1) 0.348493:(1) 0.403820:(1) 0.740247:(1) 0.561529:(1) 
9 0.491248:(1) 0.780793:(1) 0.766573:(1) 0.873652:(1) 0.759631:(1) 0.221190:(0) 0.042177:(0) 0.378836:(1) 0.344826:(1) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 
9 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 1.000000:(1) 1.000000:(1) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 0.000000:(0) 1.000000:(1) 0.000000:(0) 0.000000:(0) 0.000000:(0) 0.000000:(0) 1.000000:(1) 1.000000:(1) 
9 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 1.000000:(1) 0.000000:(0) 1.000000:(1) 1.000000:(1) 0.000000:(0) 
